"filename", "language", "HTML", "PHP", "Ini", "JavaScript", "Python", "JSON", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Corrugated_structured_packing.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Double_ring_combined_packing.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Drift_mist_eliminators.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\FRP_cover_panels.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\FRP_ductwork.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\FRP_filament_wound_storage_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\FRP_storage_vessels.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Flat_slide_gates.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Flexible_elastic_bio_filler.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Fully_sealed_sanitary_metal_water_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Gate_hoist_mechanisms.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Hexagonal_honeycomb_media.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Hollow_plastic_balls.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\PAC_coagulant.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Plastic_Pall_flower_rings.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Pressure_resistant_corrosion_proof_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
